date_added,track,artist
2022-08-29 10:48:58+00:00,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap,Quevedo"
2022-08-29 10:48:58+00:00,As It Was,Harry Styles
2022-08-29 10:48:58+00:00,Me Porto Bonito,"Bad Bunny,Chencho Corleone"
2022-08-29 10:48:58+00:00,Tití Me Preguntó,Bad Bunny
2022-08-29 10:48:58+00:00,Pink Venom,BLACKPINK
2022-08-29 10:48:58+00:00,DESPECHÁ,ROSALÍA
2022-08-29 10:48:58+00:00,Efecto,Bad Bunny
2022-08-29 10:48:58+00:00,La Bachata,Manuel Turizo
2022-08-29 10:48:58+00:00,Running Up That Hill (A Deal With God),Kate Bush
2022-08-29 10:48:58+00:00,Ojitos Lindos,"Bad Bunny,Bomba Estéreo"
2022-08-29 10:48:58+00:00,Glimpse of Us,Joji
2022-08-29 10:48:58+00:00,I Ain't Worried,OneRepublic
2022-08-29 10:48:58+00:00,Bad Habit,Steve Lacy
2022-08-29 10:48:58+00:00,Moscow Mule,Bad Bunny
2022-08-29 10:48:58+00:00,Under The Influence,Chris Brown
2022-08-29 10:48:58+00:00,Heat Waves,Glass Animals
2022-08-29 10:48:58+00:00,PROVENZA,KAROL G
2022-08-29 10:48:58+00:00,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth,Jung Kook,BTS"
2022-08-29 10:48:58+00:00,Super Freaky Girl,Nicki Minaj
2022-08-29 10:48:58+00:00,SNAP,Rosa Linn
2022-08-29 10:48:58+00:00,STAY (with Justin Bieber),"The Kid LAROI,Justin Bieber"
2022-08-29 10:48:58+00:00,Another Love,Tom Odell
2022-08-29 10:48:58+00:00,Doja,Central Cee
2022-08-29 10:48:58+00:00,Neverita,Bad Bunny
2022-08-29 10:48:58+00:00,Late Night Talking,Harry Styles
2022-08-29 10:48:58+00:00,Cold Heart - PNAU Remix,"Elton John,Dua Lipa,PNAU"
2022-08-29 10:48:58+00:00,Until I Found You,Stephen Sanchez
2022-08-29 10:48:58+00:00,Tarot,"Bad Bunny,Jhay Cortez"
2022-08-29 10:48:58+00:00,About Damn Time,Lizzo
2022-08-29 10:48:58+00:00,Sunroof,"Nicky Youre,dazy"
2022-08-29 10:48:58+00:00,I Like You (A Happier Song) (with Doja Cat),"Post Malone,Doja Cat"
2022-08-29 10:48:58+00:00,Hold Me Closer,"Elton John,Britney Spears"
2022-08-29 10:48:58+00:00,Die For You,The Weeknd
2022-08-29 10:48:58+00:00,Te Felicito,"Shakira,Rauw Alejandro"
2022-08-29 10:48:58+00:00,Party,"Bad Bunny,Rauw Alejandro"
2022-08-29 10:48:58+00:00,GATÚBELA,"KAROL G,Maldy"
2022-08-29 10:48:58+00:00,Sweater Weather,The Neighbourhood
2022-08-29 10:48:58+00:00,Caile,Luar La L
2022-08-29 10:48:58+00:00,Ferrari,"James Hype,Miggy Dela Rosa"
2022-08-29 10:48:58+00:00,I'm Good (Blue),"David Guetta,Bebe Rexha"
2022-08-29 10:48:58+00:00,After LIKE,IVE
2022-08-29 10:48:58+00:00,cómo dormiste?,Rels B
2022-08-29 10:48:58+00:00,Bam Bam (feat. Ed Sheeran),"Camila Cabello,Ed Sheeran"
2022-08-29 10:48:58+00:00,Bad Decisions (with BTS & Snoop Dogg),"benny blanco,BTS,Snoop Dogg"
2022-08-29 10:48:58+00:00,Jimmy Cooks (feat. 21 Savage),"Drake,21 Savage"
2022-08-29 10:48:58+00:00,Blinding Lights,The Weeknd
2022-08-29 10:48:58+00:00,Bones,Imagine Dragons
2022-08-29 10:48:58+00:00,Mary On A Cross,Ghost
2022-08-29 10:48:58+00:00,La Corriente,"Bad Bunny,Tony Dize"
2022-08-29 10:48:58+00:00,Ghost,Justin Bieber
date_added,track,artist
2022-08-30 10:42:30+00:00,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap,Quevedo"
2022-08-30 10:42:30+00:00,As It Was,Harry Styles
2022-08-30 10:42:30+00:00,Pink Venom,BLACKPINK
2022-08-30 10:42:30+00:00,Me Porto Bonito,"Bad Bunny,Chencho Corleone"
2022-08-30 10:42:30+00:00,Tití Me Preguntó,Bad Bunny
2022-08-30 10:42:30+00:00,DESPECHÁ,ROSALÍA
2022-08-30 10:42:30+00:00,La Bachata,Manuel Turizo
2022-08-30 10:42:30+00:00,Efecto,Bad Bunny
2022-08-30 10:42:30+00:00,I Ain't Worried,OneRepublic
2022-08-30 10:42:30+00:00,Glimpse of Us,Joji
2022-08-30 10:42:30+00:00,Running Up That Hill (A Deal With God),Kate Bush
2022-08-30 10:42:30+00:00,Bad Habit,Steve Lacy
2022-08-30 10:42:30+00:00,Ojitos Lindos,"Bad Bunny,Bomba Estéreo"
2022-08-30 10:42:30+00:00,Under The Influence,Chris Brown
2022-08-30 10:42:30+00:00,Moscow Mule,Bad Bunny
2022-08-30 10:42:30+00:00,Heat Waves,Glass Animals
2022-08-30 10:42:30+00:00,Super Freaky Girl,Nicki Minaj
2022-08-30 10:42:30+00:00,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth,Jung Kook,BTS"
2022-08-30 10:42:30+00:00,SNAP,Rosa Linn
2022-08-30 10:42:30+00:00,PROVENZA,KAROL G
2022-08-30 10:42:30+00:00,Doja,Central Cee
2022-08-30 10:42:30+00:00,Another Love,Tom Odell
2022-08-30 10:42:30+00:00,STAY (with Justin Bieber),"The Kid LAROI,Justin Bieber"
2022-08-30 10:42:30+00:00,I'm Good (Blue),"David Guetta,Bebe Rexha"
2022-08-30 10:42:30+00:00,Late Night Talking,Harry Styles
