date_added,track,artist
2022-08-30 10:42:30+00:00,Until I Found You,Stephen Sanchez
2022-08-30 10:42:30+00:00,About Damn Time,Lizzo
2022-08-30 10:42:30+00:00,Neverita,Bad Bunny
2022-08-30 10:42:30+00:00,I Like You (A Happier Song) (with Doja Cat),"Post Malone,Doja Cat"
2022-08-30 10:42:30+00:00,Hold Me Closer,"Elton John,Britney Spears"
2022-08-30 10:42:30+00:00,Tarot,"Bad Bunny,Jhay Cortez"
2022-08-30 10:42:30+00:00,Sunroof,"Nicky Youre,dazy"
2022-08-30 10:42:30+00:00,Cold Heart - PNAU Remix,"Elton John,Dua Lipa,PNAU"
2022-08-30 10:42:30+00:00,GATÚBELA,"KAROL G,Maldy"
2022-08-30 10:42:30+00:00,Die For You,The Weeknd
2022-08-30 10:42:30+00:00,Caile,Luar La L
2022-08-30 10:42:30+00:00,Ferrari,"James Hype,Miggy Dela Rosa"
2022-08-30 10:42:30+00:00,Sweater Weather,The Neighbourhood
2022-08-30 10:42:30+00:00,Te Felicito,"Shakira,Rauw Alejandro"
2022-08-30 10:42:30+00:00,Jimmy Cooks (feat. 21 Savage),"Drake,21 Savage"
2022-08-30 10:42:30+00:00,Mary On A Cross,Ghost
2022-08-30 10:42:30+00:00,cómo dormiste?,Rels B
2022-08-30 10:42:30+00:00,Party,"Bad Bunny,Rauw Alejandro"
2022-08-30 10:42:30+00:00,Bam Bam (feat. Ed Sheeran),"Camila Cabello,Ed Sheeran"
2022-08-30 10:42:30+00:00,Bones,Imagine Dragons
2022-08-30 10:42:30+00:00,After LIKE,IVE
2022-08-30 10:42:30+00:00,Bad Decisions (with BTS & Snoop Dogg),"benny blanco,BTS,Snoop Dogg"
2022-08-30 10:42:30+00:00,Blinding Lights,The Weeknd
2022-08-30 10:42:30+00:00,Ghost,Justin Bieber
2022-08-30 10:42:30+00:00,La Corriente,"Bad Bunny,Tony Dize"
